#level  ϵ_exact  ϵₕ[au]  1/L[au]
1  0.5  0.5022899472218834  0.2
2  1.5  1.5152460652303916  0.2
3  2.5  2.548555616382131  0.2
4  3.5  3.6235154369166827  0.2
5  4.5  4.707072348084767  0.2
6  5.5  5.905260980251658  0.2
7  6.5  7.053052702228355  0.2
8  7.5  8.321112529147287  0.2
9  8.5  9.752281863873602  0.2
10  9.5  11.10121273264551  0.2
1  0.5  0.5022899305939266  0.1
2  1.5  1.5152458418208807  0.1
3  2.5  2.548553785383335  0.1
4  3.5  3.623503014742698  0.1
5  4.5  4.707002887591829  0.1
6  5.5  5.904844439367786  0.1
7  6.5  7.050992049095067  0.1
8  7.5  8.311209242714407  0.1
9  8.5  9.698662204208604  0.1
10  9.5  10.91945467446397  0.1
1  0.5  0.5022899305939057  0.06666666666666667
2  1.5  1.515245841820724  0.06666666666666667
3  2.5  2.5485537853828952  0.06666666666666667
4  3.5  3.623503014741183  0.06666666666666667
5  4.5  4.707002887589452  0.06666666666666667
6  5.5  5.904844439361068  0.06666666666666667
7  6.5  7.0509920490789355  0.06666666666666667
8  7.5  8.311209242677174  0.06666666666666667
9  8.5  9.69866220408914  0.06666666666666667
10  9.5  10.919454674175729  0.06666666666666667
1  0.5  0.5022899305939268  0.05
2  1.5  1.5152458418208807  0.05
3  2.5  2.5485537853833136  0.05
4  3.5  3.6235030147424876  0.05
5  4.5  4.707002887591039  0.05
6  5.5  5.904844439364726  0.05
7  6.5  7.050992049084375  0.05
8  7.5  8.311209242682144  0.05
9  8.5  9.698662204100028  0.05
10  9.5  10.91945467418869  0.05
1  0.5  0.5022899305939001  0.04
2  1.5  1.515245841820708  0.04
3  2.5  2.548553785382858  0.04
4  3.5  3.623503014741077  0.04
5  4.5  4.70700288758932  0.04
6  5.5  5.904844439360769  0.04
7  6.5  7.0509920490784985  0.04
8  7.5  8.31120924267673  0.04
9  8.5  9.698662204088262  0.04
10  9.5  10.919454674174709  0.04
